onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
6.00032371	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
11.00032371	15.0	TheoryOfMind	ToM2	1.0	14.6	2.9160000000000004	1.0	n/a	n/a	7	1.0	1.0	0.0	1.0	1.0	65.0	12.0	0.0	3.771e-05	-0.0007298910000000001
26.000785999999998	15.0	TheoryOfMind	ToM2	1.0	14.6	2.539	1.0	n/a	n/a	7	1.0	1.0	0.0	2.0	1.0	65.0	27.0	15.0	15.0005	14.99801
41.0861802	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
46.0861802	5.0	Prediction	prediction	1.0	4.8	0.38	2.0	n/a	n/a	7	1.0	1.0	0.0	1.0	1.0	65.0	47.0	0.0	0.014180200000000004	-0.002685665
51.07323	5.0	PredictViol	prediction	2.0	4.8	0.181	2.0	n/a	n/a	7	2.0	1.0	0.0	2.0	1.0	65.0	52.0	5.0	5.0012300000000005	4.9969519999999985
56.0724	5.0	PredictScram	prediction	2.0	4.8	0.18907	2.0	n/a	n/a	7	3.0	1.0	0.0	3.0	1.0	65.0	57.0	10.0	10.0004	9.996053
61.0725	5.0	Prediction	prediction	1.0	4.8	0.1734	2.0	n/a	n/a	7	1.0	1.0	0.0	4.0	1.0	65.0	62.0	15.0	15.0005	14.99618
66.0723	5.0	PredictViol	prediction	2.0	4.8	0.44705	2.0	n/a	n/a	7	2.0	1.0	0.0	5.0	1.0	65.0	67.0	20.0	20.0003	19.9958
71.0726	5.0	PredictScram	prediction	2.0	4.8	0.53776	2.0	n/a	n/a	7	3.0	1.0	0.0	6.0	1.0	65.0	72.0	25.0	25.0006	24.99609
76.086396787	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
81.086396787	30.0	AnimatedMovie	romanceMovie	n/a	29.9	n/a	3.0	n/a	n/a	7	1.0	n/a	n/a	1.0	n/a	65.0	82.0	0.0	3.6787e-05	-0.05434237
111.08037759999998	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
116.08037759999998	5.0	RespAltHard	respAlt	n/a	4.8	0.38928	4.0	4.0	n/a	7	3.0	1.0	0.0	1.0	1.0	65.0	104.0	0.0	0.0125776	-0.005557036
121.07113	5.0	RespAltHard	respAlt	n/a	4.8	0.45735	4.0	4.0	n/a	7	3.0	1.0	0.0	2.0	1.0	65.0	109.0	5.0	5.00333	4.9946519999999985
126.0702	5.0	RespAltMed	respAlt	n/a	4.8	0.56195	4.0	2.0	n/a	7	2.0	1.0	0.0	3.0	1.0	65.0	114.0	10.0	10.0024	9.994634
131.0693	5.0	RespAltMed	respAlt	n/a	4.8	0.22978	4.0	2.0	n/a	7	2.0	1.0	0.0	4.0	1.0	65.0	119.0	15.0	15.0015	14.9939
136.0682	5.0	RespAltEasy	respAlt	n/a	4.8	0.18141	4.0	1.0	n/a	7	1.0	1.0	0.0	5.0	1.0	65.0	124.0	20.0	20.0004	19.99416
141.0703	5.0	RespAltEasy	respAlt	n/a	4.8	0.2394	4.0	1.0	n/a	7	1.0	1.0	0.0	6.0	1.0	65.0	129.0	25.0	25.0025	24.99342
146.12057280000005	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
151.12057280000005	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	0.0	7	2.0	0.0	n/a	1.0	0.0	65.0	139.0	0.0	0.0217728	-0.006826771999999999
153.09932	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	0.0	7	2.0	0.0	n/a	2.0	0.0	65.0	141.0	2.0	2.00052	1.994054
155.10092	2.0	Object2Back	nBackPic2	n/a	1.6	0.31664000000000003	5.0	n/a	1.0	7	1.0	1.0	n/a	3.0	1.0	65.0	143.0	4.0	4.00212	3.993376
157.10125000000005	2.0	Object2Back	nBackPic2	n/a	1.6	0.41221	5.0	n/a	1.0	7	1.0	1.0	n/a	4.0	1.0	65.0	145.0	6.0	6.00245	5.993142
159.10116000000005	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	0.0	7	2.0	0.0	n/a	5.0	0.0	65.0	147.0	8.0	8.002360000000001	7.994206
161.10000000000005	2.0	Object2Back	nBackPic2	n/a	1.6	0.5755	5.0	n/a	1.0	7	1.0	1.0	n/a	6.0	1.0	65.0	149.0	10.0	10.0012	9.993195
163.0995	2.0	Object2Back	nBackPic2	n/a	1.6	0.41885	5.0	n/a	1.0	7	1.0	1.0	n/a	7.0	1.0	65.0	151.0	12.0	12.0007	11.9932
165.1006	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	0.0	7	2.0	0.0	n/a	8.0	0.0	65.0	153.0	14.0	14.0018	13.992920000000002
167.1003	2.0	Object2Back	nBackPic2	n/a	1.6	0.31992	5.0	n/a	1.0	7	1.0	1.0	n/a	9.0	1.0	65.0	155.0	16.0	16.0015	15.99269
169.10000000000005	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	0.0	7	2.0	0.0	n/a	10.0	0.0	65.0	157.0	18.0	18.0012	17.9927
171.0995	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	0.0	7	2.0	0.0	n/a	11.0	0.0	65.0	159.0	20.0	20.0007	19.9919
173.10090000000002	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	0.0	7	2.0	0.0	n/a	12.0	0.0	65.0	161.0	22.0	22.0021	21.9929
175.1012	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	5.0	n/a	1.0	7	1.0	0.0	n/a	13.0	0.0	65.0	163.0	24.0	24.0024	23.9923
177.09980000000004	2.0	Object2Back	nBackPic2	n/a	1.6	0.40845	5.0	n/a	0.0	7	2.0	0.0	n/a	14.0	1.0	65.0	165.0	26.0	26.001	25.99193
179.1005	2.0	Object2Back	nBackPic2	n/a	1.6	1.0965	5.0	n/a	0.0	7	2.0	0.0	n/a	15.0	1.0	65.0	167.0	28.0	28.0017	27.992420000000006
181.096933989	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
186.096933989	30.0	LandscapeMovie	landscapeMovie	n/a	29.9	n/a	6.0	n/a	n/a	7	1.0	n/a	n/a	1.0	n/a	65.0	174.0	0.0	3.3989e-05	-0.05639167
216.07910339	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
221.07910339	3.0	ScrambledMotion	emotionProcess	2.0	2.8	1.6012	7.0	n/a	n/a	7	2.0	0.0	1.0	1.0	1.0	65.0	192.0	0.0	0.00120339	-0.0574519
224.07806000000002	3.0	ScrambledMotion	emotionProcess	2.0	2.8	1.6031	7.0	n/a	n/a	7	2.0	1.0	0.0	2.0	1.0	65.0	195.0	3.0	3.00016	2.942303
227.07863999999998	3.0	ScrambledMotion	emotionProcess	2.0	2.8	0.60225	7.0	n/a	n/a	7	2.0	1.0	0.0	3.0	1.0	65.0	198.0	6.0	6.00074	5.94249
230.07831000000002	3.0	ScrambledMotion	emotionProcess	2.0	2.8	0.55225	7.0	n/a	n/a	7	2.0	1.0	0.0	4.0	1.0	65.0	201.0	9.0	9.00041	8.943249
233.078	3.0	ScrambledMotion	emotionProcess	1.0	2.8	0.7026399999999999	7.0	n/a	n/a	7	2.0	1.0	0.0	5.0	1.0	65.0	204.0	12.0	12.0001	11.94214
236.0782	3.0	BiologicalMotion	emotionProcess	2.0	2.8	0.78503	7.0	n/a	n/a	7	1.0	0.0	1.0	6.0	1.0	65.0	207.0	15.0	15.0003	14.94287
239.078	3.0	BiologicalMotion	emotionProcess	2.0	2.8	1.1856	7.0	n/a	n/a	7	1.0	1.0	0.0	7.0	1.0	65.0	210.0	18.0	18.0001	17.94254
242.0784	3.0	BiologicalMotion	emotionProcess	2.0	2.8	0.91793	7.0	n/a	n/a	7	1.0	1.0	0.0	8.0	1.0	65.0	213.0	21.0	21.0005	20.94303
245.0781	3.0	BiologicalMotion	emotionProcess	2.0	2.8	1.6494	7.0	n/a	n/a	7	1.0	1.0	0.0	9.0	1.0	65.0	216.0	24.0	24.0002	23.94313
248.0781	3.0	BiologicalMotion	emotionProcess	1.0	2.8	0.61854	7.0	n/a	n/a	7	1.0	1.0	0.0	10.0	1.0	65.0	219.0	27.0	27.0002	26.94119
251.12697419999995	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
256.12697419999995	2.0	VisualSearchHard	visualSearch2	1.0	1.6	1.0071	8.0	12.0	n/a	7	3.0	1.0	0.0	1.0	1.0	65.0	227.0	0.0	0.0176742	-0.01578793
258.11146	2.0	VisualSearchHard	visualSearch2	2.0	1.6	0.87202	8.0	12.0	n/a	7	3.0	1.0	0.0	2.0	1.0	65.0	229.0	2.0	2.00216	1.98328
260.10976	2.0	VisualSearchHard	visualSearch2	2.0	1.6	0.72611	8.0	12.0	n/a	7	3.0	1.0	0.0	3.0	1.0	65.0	231.0	4.0	4.00046	3.984343
262.11024	2.0	VisualSearchHard	visualSearch2	1.0	1.6	0.71137	8.0	12.0	n/a	7	3.0	1.0	0.0	4.0	1.0	65.0	233.0	6.0	6.00094	5.984058
264.11073	2.0	VisualSearchHard	visualSearch2	2.0	1.6	0.69826	8.0	12.0	n/a	7	3.0	1.0	0.0	5.0	1.0	65.0	235.0	8.0	8.001430000000001	7.983160000000002
266.1109	2.0	VisualSearchMed	visualSearch2	1.0	1.6	0.63955	8.0	8.0	n/a	7	2.0	1.0	0.0	6.0	1.0	65.0	237.0	10.0	10.0016	9.984102
268.1103	2.0	VisualSearchMed	visualSearch2	1.0	1.6	0.94924	8.0	8.0	n/a	7	2.0	1.0	0.0	7.0	1.0	65.0	239.0	12.0	12.001	11.98389
270.1106	2.0	VisualSearchMed	visualSearch2	2.0	1.6	0.81947	8.0	8.0	n/a	7	2.0	1.0	0.0	8.0	1.0	65.0	241.0	14.0	14.0013	13.98435
272.1103	2.0	VisualSearchMed	visualSearch2	1.0	1.6	0.49623	8.0	8.0	n/a	7	2.0	1.0	0.0	9.0	1.0	65.0	243.0	16.0	16.000999999999998	15.98385
274.1102	2.0	VisualSearchMed	visualSearch2	1.0	1.6	0.64967	8.0	8.0	n/a	7	2.0	1.0	0.0	10.0	1.0	65.0	245.0	18.0	18.0009	17.983079999999994
276.1103	2.0	VisualSearchEasy	visualSearch2	2.0	1.6	1.0217	8.0	4.0	n/a	7	1.0	1.0	0.0	11.0	1.0	65.0	247.0	20.0	20.001	19.98237
278.1095	2.0	VisualSearchEasy	visualSearch2	1.0	1.6	0.57923	8.0	4.0	n/a	7	1.0	1.0	0.0	12.0	1.0	65.0	249.0	22.0	22.0002	21.98237
280.1117	2.0	VisualSearchEasy	visualSearch2	1.0	1.6	0.73187	8.0	4.0	n/a	7	1.0	1.0	0.0	13.0	1.0	65.0	251.0	24.0	24.0024	23.98235
